PLANT NAME,BUG RATING ,Location ,Bug that eats Leaf
Morning Glory,5 out of 5,"30.286046, -97.732754",beetles & Catepillars
Hedge Parsley ,2.5 out of 5,"30.286046, -97.732754",Catepillars
Dead Leaf,0 out of 5,"30.286046, -97.732754",millipeads & woodlice
Magnolia Tree Leaf,1 out of 5,"30.286330, -97.732131",magnolia leaf footed & catepillars
Oak Sapling,2.7 out of 5,"30.286000, -97.732780",Aphids & catepillars
Raintree Leaf,3 out of 5,"30.285981, -97.732095",Aphids & catepillars
Mustang Grape,0 out of 5 ,"30.285981, -97.732095",beetles/moths/catepillars
Milkweed,4 out of 5,"30.286018, -97.732752",Aphids & catepillars & beetles
Invasive Privet,3.5 out of 5,"30.286317, -97.732573",weeviles
"Polemonium Reptans
",1.5 out of 5,"30.285966, -97.732087",slugs snails & aphids